etiometry_t3_data,,
col_name,data_type,comment
timestamp,timestamp,null
ps_above_speep_cmh2o,double,null
pkflset_n_a,double,null
riseset,double,null
pc_above_speep_cmh2o,double,null
rr_m_min,double,null
speep_cmh2o,double,null
fio2,double,null
scpap_cmh2o,double,null
ps_above_phigh_cmh2o,double,null
backup_pressure_level_above_peep_cmh2o,double,null
nava_level_setting_n_a,double,null
edi_trigger_setting_n_a,double,null
bivent_support_above_peep_cmh2o,double,null
bp_mbar,double,null
vti_ml,double,null
tvex_ml,double,null
ve_l_min,double,null
rraw_min,double,null
cstat_n_a,double,null
ppeak_cmh2o,double,null
pmean_cmh2o,double,null
peep_cmh2o,double,null
wobv_n_a,double,null
wobp_n_a,double,null
mvin_l_min,double,null
fio2_1,double,null
vtco2_ml,double,null
co2_minute_production_ml_min,double,null
spmve_l_min,double,null
total_peep_cmh2o,double,null
cdyn_n_a,double,null
sprr_min,double,null
expiratory_resistance_n_a,double,null
inspiratory_resistance_n_a,double,null
cpap_cmh2o,double,null
patient_pulmonary_stress_index_n_a,double,null
p0_1_airway_pressure_cmh2o,double,null
niv_leakage_fraction,double,null
e_n_a,double,null
rsbi_n_a,double,null
bivent_mve_spontaneous_mve_n_a,double,null
peak_edi_n_a,double,null
min_edi_n_a,double,null
edi_trigger_in_nava,double,null
edi_cycle_off_in_nava,double,null
temp_c,double,null
etco2_mmhg,double,null
hr_bpm,double,null
rr_rpm,double,null
pvc_bpm,double,null
spo2,double,null
pulse_spo2_bpm,double,null
perf_n_a,double,null
awrr_rpm,double,null
nbps_mmhg,double,null
nbpd_mmhg,double,null
nbpm_mmhg,double,null
imco2_mmhg,double,null
st_i_mm,double,null
st_ii_mm,double,null
st_iii_mm,double,null
st_avr_mm,double,null
st_avl_mm,double,null
st_avf_mm,double,null
st_v_mm,double,null
mrn,bigint,null
run_id,string,null
artm_mmhg,double,null
arts_mmhg,double,null
artd_mmhg,double,null
abpm_mmhg,double,null
abps_mmhg,double,null
abpd_mmhg,double,null
rrset_min,double,null
fio2_2,double,null
tvex_2_ml,double,null
ve_l,double,null
pip_cmh2o,double,null
rraw_2_min,double,null
icpm_mmhg,double,null
cvpm_mmhg,double,null
nirs_c,double,null
nirs_r,double,null
pulse_nbp_bpm,double,null
trect_c,double,null
trect_2_c,double,null
pulse_art_bpm,double,null
pulse_spo2pr_bpm,double,null
spo2pr,double,null
perfpr_n_a,double,null
pvc_min,double,null
nbp_s_mmhg,double,null
nbp_m_mmhg,double,null
nbp_d_mmhg,double,null
pulse_bpm,double,null
temp_c_1,double,null
set_tidalvol_n_a,double,null
set_minutevol_n_a,double,null
set_insprisetime_n_a,double,null
set_simvfreq_rpm,double,null
set_insptime_n_a,double,null
set_insptime_n_a_1,double,null
ti_sec,double,null
set_presssuptlvl_n_a,double,null
set_peep_cmh2o,double,null
set_o2_n_a,double,null
set_upperpress_n_a,double,null
set_insprisetime_n_a_1,double,null
pbaro_mbar,double,null
supair_mbar,double,null
supo2_mbar,double,null
vte_ml,double,null
mve_l_min,double,null
rr_2_rpm,double,null
wobv_joule_l,double,null
mvi_l_min,double,null
o2,double,null
flee_l_sec,double,null
mve_sp_l_min,double,null
cdynolt_ml_cmh2o,double,null
rrsp_rpm,double,null
cdyn_ml_cmh2o,double,null
art_s_mmhg,double,null
art_m_mmhg,double,null
art_d_mmhg,double,null
s_1_rso2,double,null
cvp_m_mmhg,double,null
s_2_rso2,double,null
wobp_joule_l,double,null
ti_ttot_n_a,double,null
re_cmh2o_l_s,double,null
sbi_breaths_min_l,double,null
ppv,double,null
st_mcl_mm,double,null
rapm_mmhg,double,null
pulse_abp_bpm,double,null
t1_c,double,null
t1_2_c,double,null
t2_c,double,null
spo2pr_2,double,null
p2s_mmhg,double,null
p2d_mmhg,double,null
p2m_mmhg,double,null
rr_m_2_min,double,null
ps_above_speep_2_cmh2o,double,null
pc_above_speep_2_cmh2o,double,null
rr_m_3_min,double,null
speep_2_cmh2o,double,null
scpap_2_cmh2o,double,null
nava_level_setting_2_n_a,double,null
bivent_pressure_support_level_above_peep_cmh2o,double,null
bp_2_mbar,double,null
breathing_system_leakage,double,null
nebulization_remaining_time_min,double,null
fio2_2_1,double,null
peep_2_cmh2o,double,null
i_e_ratio_n_a,double,null
sprr_2_min,double,null
cdyn_2_n_a,double,null
ppeak_2_cmh2o,double,null
pmean_2_cmh2o,double,null
rsbi_2_n_a,double,null
wobp_2_n_a,double,null
poccl_cmh2o,double,null
vtco2_2_ml,double,null
co2_minute_production_2_ml_min,double,null
end_expiratory_flow_n_a,double,null
vti_2_ml,double,null
ve_2_l_min,double,null
imposed_work_of_breathing_n_a,double,null
spmvex_l_min,double,null
expiratory_resistance_2_n_a,double,null
inspiratory_resistance_2_n_a,double,null
cpap_2_cmh2o,double,null
inspiratory_flow_n_a,double,null
e_2_n_a,double,null
bivent_mve_spontaneous_mve_2_n_a,double,null
peak_edi_2_n_a,double,null
min_edi_2_n_a,double,null
tv_kg_ml_kg,double,null
cstat_2_n_a,double,null
total_peep_2_cmh2o,double,null
cvps_mmhg,double,null
cvpd_mmhg,double,null
tcore_c,double,null
ic2m_mmhg,double,null
cpp_mmhg,double,null
tcore_2_c,double,null
qt_hr_bpm,double,null
qtc_msec,double,null
qt_msec,double,null
dqtc_msec,double,null
rap_m_mmhg,double,null
perfpo_n_a,double,null
pulse_spo2po_bpm,double,null
spo2po,double,null
icp_m_mmhg,double,null
pm_mmhg,double,null
uapm_mmhg,double,null
papm_mmhg,double,null
paps_mmhg,double,null
papd_mmhg,double,null
aom_mmhg,double,null
set_inspflow_n_a,double,null
set_cmvfreq_n_a,double,null
set_pausetime_n_a,double,null
t2_2_c,double,null
lapm_mmhg,double,null
tblood_c,double,null
sp_vo2,double,null
svo2,double,null
c_o_l_min,double,null
bsa_m2,double,null
sv_ml,double,null
svr_ds_cm5,double,null
lcw_kg_m,double,null
lvsw_g_m,double,null
rcw_kg_m,double,null
rvsw_g_m,double,null
c_i_l_min_m2,double,null
si_ml_m2,double,null
svri_dsm2_cm5,double,null
lcwi_kg_m_m2,double,null
lvswi_g_m_m2,double,null
rcwi_kg_m_m2,double,null
rvswi_g_m_m2,double,null
height_cm,double,null
weight_kg,double,null
pawp_mmhg,double,null
pvr_ds_cm5,double,null
pvri_dsm2_cm5,double,null
injectate_temperature_c,double,null
cardiac_index_n_a,double,null
cco_n_a,double,null
cco_2_n_a,double,null
global_end_diastolic_volume_index_n_a,double,null
tblood_picco2_c,double,null
itbi_n_a,double,null
cardiac_index_2_n_a,double,null
extravascular_lung_water_index_ml_kg,double,null
pulse_contour_cardiac_index_n_a,double,null
right_to_left_heart_shunt_fraction,double,null
pulmonary_vascular_permeability_index_n_a,double,null
global_end_diastolic_volume_index_n_a_1,double,null
stroke_volume_ml,double,null
stroke_volume_index_n_a,double,null
intrathoracic_blood_volume_index_n_a,double,null
pulmonary_vascular_permeability_index_2_n_a,double,null
extravascular_lung_water_index_2_ml_kg,double,null
scvo2,double,null
do2i_n_a,double,null
sao2_picco2,double,null
do2_picco2_ml_min,double,null
svr_index_n_a,double,null
spo2_picco2,double,null
o2_consumption_vo2_ml_min,double,null
hematocrit,double,null
o2_consumption_index_n_a,double,null
plasma_disappearance_rate_n_a,double,null
icg_retention_rate,double,null
co_picco2_l_min,double,null
abps_picco2_mmhg,double,null
abpd_picco2_mmhg,double,null
abpm_picco2_mmhg,double,null
global_end_diastolic_volume_ml,double,null
itbv_ml,double,null
cardiac_output_l_min,double,null
hr_picco2_min,double,null
extravascular_lung_water_ml,double,null
cardiac_function_index_min,double,null
pulse_contour_cardiac_output_l_min,double,null
ejection_fraction,double,null
global_end_diastolic_volume_ml_1,double,null
intrathoracic_blood_volume_ml,double,null
stroke_volume_mean_ml,double,null
stroke_volume_min_ml,double,null
extravascular_lung_water_2_ml,double,null
stroke_volume_max_ml,double,null
